Time,M1_RR,M2_RL,M3_FR,M4_FL,V_Batt,Pitch,Roll,Altitude
0.0000,236.0000,236.0000,232.0000,234.0000,10.0650,0.0000,0.0000,0.0000
0.0100,174.5556,178.2222,174.0000,171.8889,10.0638,0.0000,0.0000,0.2669
0.0200,180.7778,185.1111,181.0000,178.4444,10.0638,0.0000,0.0000,0.2722
0.0300,187.0000,192.0000,188.0000,185.0000,10.0638,0.0000,0.0000,0.2722
0.0400,187.0000,192.0000,188.0000,184.0000,10.0637,-0.0602,0.3895,0.2722
0.0500,187.3333,191.7778,187.7778,184.2222,10.0637,-0.0582,0.3922,0.2722
0.0600,187.6667,191.5556,187.5556,184.4444,10.0636,-0.0558,0.3961,0.2722
0.0700,188.0000,191.3333,187.3333,184.6667,10.0636,-0.0526,0.4015,0.2722
0.0800,188.3333,191.1111,187.1111,184.8889,10.0636,-0.0494,0.4075,0.2722
0.0900,188.6667,190.8889,186.8889,185.1111,10.0635,-0.0462,0.4140,0.2722
0.1000,189.0000,190.6667,186.6667,185.3333,10.0635,-0.0430,0.4211,0.2722
0.1100,189.3333,190.4444,186.4444,185.5556,10.0635,-0.0400,0.4286,0.2722
0.1200,189.6667,190.2222,186.2222,185.7778,10.0634,-0.0372,0.4365,0.2722
0.1300,187.6667,191.5556,187.5556,184.4444,10.0633,-0.0348,0.4447,0.2722
0.1400,188.0000,191.3333,187.3333,184.6667,10.0633,-0.0327,0.4531,0.2722
0.1500,188.3333,191.1111,187.1111,184.8889,10.0632,-0.0311,0.4617,0.2722
0.1600,188.6667,190.8889,186.8889,185.1111,10.0632,-0.0301,0.4703,0.2722
0.1700,189.0000,190.6667,186.6667,185.3333,10.0631,-0.0291,0.4795,0.2722
0.1800,189.3333,190.4444,186.4444,185.5556,10.0630,-0.0283,0.4891,0.2722
0.1900,189.6667,190.2222,186.2222,185.7778,10.0630,-0.0278,0.4991,0.2722
0.2000,190.0000,190.0000,186.0000,186.0000,10.0629,-0.0275,0.5094,0.2722
0.2100,125.0000,131.0000,128.0000,120.0000,10.0628,-0.0276,0.5199,0.2722
0.2200,137.3333,142.6667,139.7778,132.5556,10.0628,-0.0282,0.5306,0.2722
0.2300,149.6667,154.3333,151.5556,145.1111,10.0628,-0.0294,0.5413,0.2722
0.2400,162.0000,166.0000,163.3333,157.6667,10.0628,-0.0312,0.5521,0.2722
0.2500,174.3333,177.6667,175.1111,170.2222,10.0628,-0.0345,0.5617,0.2722
0.2600,186.6667,189.3333,186.8889,182.7778,10.0628,-0.0390,0.5702,0.2669
0.2700,199.0000,201.0000,198.6667,195.3333,10.0627,-0.0444,0.5776,0.2669
0.2800,211.3333,212.6667,210.4444,207.8889,10.0627,-0.0502,0.5839,0.2669
0.2900,223.6667,224.3333,222.2222,220.4444,10.0627,-0.0560,0.5891,0.2669
0.3000,236.0000,236.0000,234.0000,233.0000,10.0627,-0.0613,0.5931,0.2669
0.3100,131.0000,125.0000,120.0000,126.0000,10.0618,-0.0655,0.5963,0.2669
0.3200,137.6667,131.6667,126.7778,132.7778,10.0618,-0.0680,0.5984,0.2669
0.3300,144.3333,138.3333,133.5556,139.5556,10.0618,-0.0682,0.5996,0.2669
0.3400,151.0000,145.0000,140.3333,146.3333,10.0618,-0.0653,0.5999,0.2669
0.3500,157.6667,151.6667,147.1111,153.1111,10.0618,-0.0652,0.6003,0.2669
0.3600,164.3333,158.3333,153.8889,159.8889,10.0618,-0.0675,0.6006,0.2669
0.3700,171.0000,165.0000,160.6667,166.6667,10.0618,-0.0721,0.6011,0.2669
0.3800,177.6667,171.6667,167.4444,173.4444,10.0618,-0.0789,0.6014,0.2669
0.3900,184.3333,178.3333,174.2222,180.2222,10.0618,-0.0876,0.6019,0.2669
0.4000,191.0000,185.0000,181.0000,187.0000,10.0618,-0.0981,0.6024,0.2669
0.4100,239.0000,234.0000,231.0000,235.0000,10.0617,-0.1100,0.6029,0.2669
0.4200,233.3333,228.7778,225.7778,229.4444,10.0614,-0.1231,0.6035,0.2669
0.4300,227.6667,223.5556,220.5556,223.8889,10.0612,-0.1372,0.6041,0.2642
0.4400,222.0000,218.3333,215.3333,218.3333,10.0610,-0.1520,0.6047,0.2642
0.4500,216.3333,213.1111,210.1111,212.7778,10.0608,-0.1654,0.6046,0.2642
0.4600,210.6667,207.8889,204.8889,207.2222,10.0605,-0.1776,0.6039,0.2642
0.4700,205.0000,202.6667,199.6667,201.6667,10.0603,-0.1887,0.6025,0.2642
