Time,Roll,Pitch,Yaw,PosX,PosY,Altitude
0.000,0.000,0.000,0.000,0.00000,0.00000,0.000
0.010,0.000,0.000,0.000,0.32507,-0.27613,0.011
0.020,0.000,0.000,0.000,0.32507,-0.27613,0.005
0.030,0.000,0.000,0.000,0.32507,-0.27613,0.005
0.040,0.000,0.000,0.021,0.32507,-0.27613,0.000
0.050,0.000,0.000,0.021,0.32507,-0.27613,0.000
0.060,0.000,0.000,0.021,0.32507,-0.27613,-0.005
0.070,0.000,0.000,0.021,0.32507,-0.27613,-0.005
0.080,0.011,-0.003,0.050,0.32507,-0.27613,-0.005
0.090,-0.005,0.002,0.036,0.32507,-0.27613,-0.005
0.100,-0.004,0.000,0.036,0.32507,-0.27613,-0.005
0.110,-0.001,-0.001,0.036,0.32507,-0.27613,-0.005
0.120,0.001,0.000,0.036,0.32507,-0.27613,-0.005
0.130,0.001,0.000,0.036,0.32507,-0.27613,-0.005
0.140,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.150,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.160,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.170,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.180,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.190,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.200,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.210,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.220,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.230,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.240,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.250,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.260,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.270,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.280,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.290,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.300,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.310,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.320,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.330,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.340,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.350,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.360,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.370,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.380,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.390,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.400,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.410,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.420,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.430,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.440,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.450,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.460,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.470,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.480,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.490,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.500,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.510,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.520,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.530,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.540,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.550,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.560,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.570,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.580,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.590,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.600,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.610,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.620,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.630,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.640,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.650,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.660,0.000,0.000,0.036,0.32436,-0.27779,-0.005
